lenderNames,productNames,loanAmtLenderMax2,minLenderCreditScore2,state,veteran,foreclosure,capacity
Lender 287,ReFi,330000,680,Nebraska,Yes,No,35
Lender 104,ReFi,290000,680,Tennessee,No,No,45
Lender 362,Auto,290000,660,California,No,No,12
Lender 226,Purchase,310000,730,New York,No,Yes,30
Lender 83,Purchase,340000,670,Idaho,No,Yes,24
Lender 99,Auto,360000,610,Indiana,Yes,No,16
Lender 184,ReFi,250000,690,Minnesota,Yes,No,49
Lender 18,Purchase,280000,740,Montana,No,No,48
Lender 341,Home Equity,290000,690,Delaware,No,No,50
Lender 167,Purchase,230000,650,New Jersey,Yes,No,41
Lender 6,Home Equity,280000,660,Indiana,Yes,No,25
Lender 72,Purchase,290000,650,Massachusetts,No,Yes,42
Lender 218,ReFi,280000,650,Florida,No,Yes,6
Lender 234,Auto,310000,570,Montana,No,No,10
Lender 27,Purchase,270000,710,Massachusetts,No,No,4
Lender 3,Auto,330000,640,Louisiana,No,Yes,0
Lender 187,Purchase,230000,650,Alaska,No,Yes,38
Lender 18,Home Equity,340000,790,Rhode Island,Yes,No,27
Lender 298,Purchase,300000,720,Delaware,No,No,5
Lender 297,Purchase,260000,670,Oklahoma,Yes,No,31
Lender 199,Home Equity,290000,640,Pennsylvania,No,No,8
Lender 360,Home Equity,300000,610,North Carolina,Yes,No,13
Lender 54,Auto,330000,740,Iowa,Yes,Yes,47
Lender 225,Auto,230000,680,Alabama,Yes,Yes,20
Lender 278,Purchase,280000,650,Georgia,Yes,Yes,10
Lender 374,Purchase,280000,540,Kentucky,Yes,No,33
Lender 73,Purchase,300000,620,Texas,No,No,19
Lender 398,Purchase,280000,680,Hawaii,Yes,No,24
Lender 115,ReFi,260000,630,Arizona,No,No,39
Lender 47,Auto,270000,710,West Virginia,Yes,No,26
Lender 111,Auto,250000,540,Colorado,Yes,No,44
Lender 52,Purchase,310000,720,New York,Yes,Yes,25
Lender 180,ReFi,310000,740,Maine,Yes,No,30
Lender 194,Auto,290000,680,Hawaii,Yes,Yes,49
Lender 56,Purchase,290000,580,Maine,No,Yes,24
Lender 328,Auto,320000,650,Minnesota,Yes,No,18
Lender 353,Purchase,330000,750,Wisconsin,No,No,3
Lender 360,Purchase,320000,740,Louisiana,No,No,21
Lender 148,Home Equity,280000,670,Ohio,Yes,Yes,40
Lender 333,Auto,350000,690,New Jersey,Yes,Yes,1
Lender 22,Auto,260000,720,Florida,Yes,No,7
Lender 231,ReFi,240000,710,Florida,No,Yes,19
Lender 74,Purchase,360000,650,Indiana,Yes,No,7
Lender 175,Auto,330000,570,Tennessee,Yes,No,1
Lender 253,Home Equity,270000,620,North Dakota,Yes,Yes,10
Lender 251,Auto,290000,620,Ohio,No,No,14
Lender 327,Home Equity,340000,680,Arkansas,No,Yes,3
Lender 70,ReFi,270000,710,Virginia,Yes,No,20
Lender 321,Home Equity,270000,740,Washington,No,Yes,43
Lender 256,Purchase,380000,720,Missouri,No,No,6
Lender 309,ReFi,360000,650,Iowa,Yes,Yes,35
Lender 321,Auto,320000,670,Michigan,No,Yes,16
Lender 164,Purchase,310000,650,Missouri,No,No,13
Lender 305,Home Equity,240000,680,Iowa,Yes,No,14
Lender 110,Purchase,380000,700,North Carolina,Yes,No,14
Lender 235,ReFi,280000,660,Mississippi,No,Yes,37
Lender 127,Auto,270000,690,New York,No,Yes,28
Lender 96,Home Equity,370000,590,Tennessee,Yes,Yes,29
Lender 206,Auto,300000,680,Alabama,No,No,22
Lender 132,Purchase,330000,680,Missouri,Yes,No,5
Lender 310,ReFi,270000,750,Illinois,Yes,No,15
Lender 291,Home Equity,270000,610,Florida,Yes,No,25
